L_x,L_y,N_b,gate,block,matching,sharing,orbit_index,angle_rad
4,4,7,eSWAP,3,y_0,layer,,0.5197517892966812
4,4,7,eSWAP,3,x_1,layer,,0.5097123874948983
4,4,7,eSWAP,3,x_0,layer,,0.8360275393163548
4,4,7,eSWAP,4,y_1,layer,,0.37053649402857447
4,4,7,eSWAP,4,y_0,layer,,0.5315197291109621
4,4,7,eSWAP,4,x_1,layer,,0.536766384427358
4,4,7,eSWAP,4,x_0,layer,,0.6605773880206582
4,4,7,eSWAP,5,y_1,layer,,0.38383983759340135
4,4,7,eSWAP,5,y_0,layer,,0.4626866318387455
4,4,7,eSWAP,5,x_1,layer,,0.4001618877312598
4,4,7,eSWAP,5,x_0,layer,,0.488535316968262
4,4,7,eSWAP,6,y_1,layer,,0.2603001054031462
4,4,7,eSWAP,6,y_0,layer,,0.31875035425520215
4,4,7,eSWAP,6,x_1,layer,,0.3385475215656677
4,4,7,eSWAP,6,x_0,layer,,0.2980712278459734
4,4,7,eSWAP,7,y_1,layer,,0.3121738800160161
4,4,7,eSWAP,7,y_0,layer,,0.29273797238657817
4,4,7,eSWAP,7,x_1,layer,,0.16522506482955102
4,4,7,eSWAP,7,x_0,layer,,0.19576946126929817
4,4,8,eSWAP,1,y_1,layer,,-3.0256627569556733
4,4,8,eSWAP,1,y_0,layer,,0.19056507933673972
4,4,8,eSWAP,1,x_1,layer,,0.1627134004802322
4,4,8,eSWAP,1,x_0,layer,,1.1987193306007846
4,4,8,eSWAP,2,y_1,layer,,0.241840699062847
4,4,8,eSWAP,2,y_0,layer,,0.3844926186145474
4,4,8,eSWAP,2,x_1,layer,,0.3652935585530521
4,4,8,eSWAP,2,x_0,layer,,0.9372611643588797
4,4,8,eSWAP,3,y_1,layer,,0.30056828968048066
4,4,8,eSWAP,3,y_0,layer,,0.48084935081958946
4,4,8,eSWAP,3,x_1,layer,,0.46783306289531623
4,4,8,eSWAP,3,x_0,layer,,0.8276737985556446
4,4,8,eSWAP,4,y_1,layer,,0.35645127680453026
4,4,8,eSWAP,4,y_0,layer,,0.5103431806743588
4,4,8,eSWAP,4,x_1,layer,,0.5111347604570291
4,4,8,eSWAP,4,x_0,layer,,0.7064221408651945
4,4,8,eSWAP,5,y_1,layer,,0.37079464402430595
