N_b,state,fidelity,energy,energy_per_site,energy_above_ground
3,before_SW,0.4211535695390493,0.0,0.0,6.808414466441853
3,SW_phi_0.5,0.8343003141280817,-6.002451045225003,-0.3751531903265627,0.80596342121685
3,optimized_best_SW,0.8514794400173288,-6.344713555405354,-0.39654459721283464,0.4637009110364989
4,before_SW,0.44190425721419213,0.0,0.0,6.808414466441853
4,SW_phi_0.5,0.8762892121407978,-6.018608966271298,-0.37616306039195613,0.7898055001705551
4,optimized_best_SW,0.8940611846389377,-6.36324124567517,-0.39770257785469815,0.44517322076668275
5,before_SW,0.4522066171728465,0.0,0.0,6.808414466441853
5,SW_phi_0.5,0.8971332738148415,-6.031429487996853,-0.3769643429998033,0.7769849784450003
5,optimized_best_SW,0.9152101780750955,-6.377075488405014,-0.39856721802531336,0.4313389780368393
