N_b,yo,ye,xo,xe
3,0.4235145871037478,0.42492204426295077,0.42780426925919013,0.4276135533551663
4,0.4234881261491977,0.42549146030756674,0.4279524474150808,0.42841789723772267
5,0.4233150642081199,0.42587524543794775,0.4276700058954094,0.42886057713437425
